step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,isFraud
542,65018,0,0,2319119,2384137,1,0,0,0,0
162,202213,75636,0,0,202213,1,0,0,0,0
478,20,75664,75684,4358778,4358759,0,0,0,0,0
11,200638,0,0,660561,861199,1,0,0,0,0
155,275808,16679,0,1285539,1561348,1,0,0,0,0
402,94834,0,0,938716,1033549,0,0,0,1,0
305,15590,30427,14837,0,15590,1,0,0,0,0
229,182401,0,0,1155999,1338400,1,0,0,0,0
305,1135578,0,0,5278373,6413951,0,0,0,1,0
324,11912,0,0,0,0,0,0,1,0,0
39,81517,39659,121176,0,0,0,0,0,0,0
41,71190,0,0,485391,556581,1,0,0,0,0
44,44572,44572,0,11984,0,1,0,0,0,1
403,4416,31497,27081,0,0,0,0,1,0,0
183,268214,60325,328539,0,0,0,0,0,0,0
161,1533798,1533798,0,419107,1952906,1,0,0,0,1
177,13536,0,0,0,0,0,0,1,0,0
236,33549,99863,66314,0,33549,1,0,0,0,0
228,463894,19913,483807,483348,19453,0,0,0,0,0
179,141907,0,0,608610,750516,1,0,0,0,0
34,107084,0,0,5369291,5476375,1,0,0,0,0
324,24656,20964,0,0,24656,1,0,0,0,0
300,28156,22442,0,3996007,4024164,1,0,0,0,0
226,157121,153923,311044,242528,85407,0,0,0,0,0
16,432395,372777,0,11840,444235,1,0,0,0,0
135,132,500068,499936,0,0,0,0,1,0,0
136,122055,1688197,1810252,655711,533656,0,0,0,0,0
395,129005,0,0,416365,545370,1,0,0,0,0
373,120528,30088,0,69823,190351,1,0,0,0,0
399,412399,57347,0,290368,702767,1,0,0,0,0
186,2507,0,0,1415757,1418264,1,0,0,0,0
134,313232,0,0,1422192,1735425,1,0,0,0,0
347,188517,0,0,1028248,1216765,1,0,0,0,0
614,309062,309062,0,218007,527068,1,0,0,0,1
19,7587,21058,13471,0,0,0,0,1,0,0
8,33857,0,0,0,0,0,0,1,0,0
374,14121,0,0,0,0,0,0,1,0,0
258,243559,0,0,2004201,2247760,1,0,0,0,0
181,278781,36648,0,449015,727796,1,0,0,0,0
209,11229,250012,238783,0,0,0,0,1,0,0
405,7340,0,0,0,0,0,0,1,0,0
359,2816,295,0,0,0,0,0,1,0,0
155,28249,405769,377520,0,0,0,0,1,0,0
253,180533,25114,0,105028,285561,1,0,0,0,0
154,49887,17020004,17069890,1525308,1475422,0,0,0,0,0
684,4342003,139865,0,14722698,19064701,0,0,0,1,0
214,190363,5999953,6190316,1379674,1189311,0,0,0,0,0
19,166059,303224,137165,661318,628880,1,0,0,0,0
393,216065,50607,266672,672247,456182,0,0,0,0,0
691,181186,0,0,3514807,3695993,0,0,0,1,0
369,89597,89597,0,0,0,0,0,0,1,1
12,390523,40546,431069,101834,0,0,0,0,0,0
403,94680,0,0,658802,753483,1,0,0,0,0
378,58094,19380,0,272352,330446,1,0,0,0,0
322,550117,351902,902019,869845,319728,0,0,0,0,0
283,399357,0,0,800587,1199944,1,0,0,0,0
44,3065,160373,157308,0,0,0,0,1,0,0
227,1159276,0,0,1249810,2409086,0,0,0,1,0
188,736705,350,0,3469452,4206157,0,0,0,1,0
205,13075,10547,0,0,0,0,0,1,0,0
131,7476726,7476726,0,0,0,0,0,0,1,1
327,15583,74405,58822,0,0,0,0,1,0,0
165,245107,2586224,2831331,455116,210008,0,0,0,0,0
379,122818,3099381,3222199,978035,855218,0,0,0,0,0
528,2173367,2173367,0,0,0,0,0,0,1,1
384,178177,0,0,4551915,4730092,1,0,0,0,0
355,207979,11425,0,5606396,5814375,1,0,0,0,0
407,136637,91238,0,586289,722926,1,0,0,0,0
19,8528,0,0,0,0,0,0,1,0,0
251,115681,0,0,404971,520652,1,0,0,0,0
136,31206,0,0,46942,78148,1,0,0,0,0
612,875642,0,0,1518531,2394173,0,0,0,1,0
305,272820,155973,0,213511,486331,1,0,0,0,0
303,297911,5802,0,329533,627444,1,0,0,0,0
352,24200,0,0,10490744,10514944,1,0,0,0,0
157,5488,2858,0,0,0,0,0,1,0,0
349,52292,10019142,10071434,773683,721391,0,0,0,0,0
206,117966,0,0,778638,896604,0,0,0,1,0
177,15084,0,0,0,0,0,0,1,0,0
281,56907,13055,0,0,56907,1,0,0,0,0
182,26853,47793,20940,0,0,0,0,1,0,0
379,3111,200492,197380,0,0,0,0,1,0,0
226,332260,7672,0,203564,535824,1,0,0,0,0
329,1241,573723,572482,0,0,0,0,1,0,0
355,148711,1905515,2054226,5636373,5487662,0,0,0,0,0
255,370796,50374,0,86838,457634,1,0,0,0,0
354,67020,29971,0,245211,312232,1,0,0,0,0
38,27954,336988,309033,0,0,0,0,1,0,0
254,20045,0,0,225501,245547,1,0,0,0,0
401,23046,27680,4634,0,0,0,0,1,0,0
137,13148,0,0,0,0,0,0,1,0,0
34,346858,61198,408056,1576829,1229971,0,0,0,0,0
278,1472947,201212,0,0,1472947,0,0,0,1,0
382,19872,6686,0,0,0,0,0,1,0,0
394,171382,0,0,338963,510345,1,0,0,0,0
134,71163,152283,81119,684038,755202,1,0,0,0,0
202,117641,0,0,891391,1009032,1,0,0,0,0
181,214336,60600,274936,17088,0,0,0,0,0,0
164,8303,347952,339650,0,0,0,0,1,0,0
14,89074,9901,0,245868,640492,1,0,0,0,0
692,322364,0,0,1403439,1725804,1,0,0,0,0
202,53927,163,0,778061,831988,1,0,0,0,0
168,4049,0,0,0,0,0,0,1,0,0
328,1985,0,0,0,0,0,0,1,0,0
356,13367,0,0,0,0,0,0,1,0,0
736,172916,172916,0,7674509,7847424,1,0,0,0,1
381,8168,284,0,0,0,0,0,1,0,0
165,21174,0,0,0,0,0,0,1,0,0
331,19168,107123,87955,0,0,0,0,1,0,0
354,12560,20060,7500,0,0,0,0,1,0,0
18,3880,16041717,16045597,88218,84339,0,0,0,0,0
44,28622,1848544,1877166,279696,251074,0,0,0,0,0
348,11060,0,0,6664046,6675107,1,0,0,0,0
205,44857,0,0,934168,979025,0,0,0,1,0
331,231502,0,0,415324,646826,1,0,0,0,0
82,1534985,1534985,0,0,0,0,0,0,1,1
302,261519,31911,0,44708,306227,1,0,0,0,0
95,132985,10682,0,494912,627897,0,0,0,1,0
204,115919,0,0,422351,538270,1,0,0,0,0
261,4870,16126,11256,0,0,0,0,1,0,0
299,175582,0,0,43407512,43583095,1,0,0,0,0
355,257243,0,0,1129363,1386606,1,0,0,0,0
24,3140,29125,25985,0,0,0,0,1,0,0
211,18442,0,0,116271,134712,1,0,0,0,0
13,32867,5107503,5140371,611530,770601,0,0,0,0,0
493,202495,4333038,4535534,717692,515197,0,0,0,0,0
230,309532,0,0,668163,977695,1,0,0,0,0
133,128277,9550797,9679075,3940707,3812429,0,0,0,0,0
15,131953,9739252,9871205,2788814,2656861,0,0,0,0,0
398,63323,5547,0,0,63323,1,0,0,0,0
509,407320,407320,0,0,0,0,0,0,1,1
566,90452,34186,0,38007,128459,1,0,0,0,0
69,175329,175329,0,0,0,0,0,0,1,1
455,2108590,2108590,0,0,0,0,0,0,1,1
397,398052,0,0,445275,843326,0,0,0,1,0
38,200792,2004,0,0,200792,1,0,0,0,0
726,185530,185530,0,0,0,0,0,0,1,1
215,1586480,1586480,0,0,0,0,0,0,1,1
16,418666,51175,0,524653,943319,1,0,0,0,0
9,30240,0,0,299659,744596,1,0,0,0,0
211,169196,33519,0,349288,518485,1,0,0,0,0
162,18751,0,0,244763,459453,1,0,0,0,0
201,387,66933,66546,0,0,0,0,1,0,0
459,46131,46131,0,0,46131,1,0,0,0,1
211,222109,8011,0,0,222109,1,0,0,0,0
250,54541,0,0,701593,756134,1,0,0,0,0
277,1357,51619,50262,0,0,0,0,1,0,0
154,147869,22115,169984,280859,132991,0,0,0,0,0
133,365696,10335358,10701053,6453913,6088218,0,0,0,0,0
15,38607,5966300,6004906,84906,46300,0,0,0,0,0
394,30968,30892,61860,123250,300974,0,0,0,0,0
130,1141,0,0,0,0,0,0,1,0,0
256,6793,0,0,0,0,0,0,1,0,0
396,205027,0,0,4466535,4671562,1,0,0,0,0
231,1413353,23094,0,0,1413353,0,0,0,1,0
452,227349,227349,0,0,0,0,0,0,1,1
252,6678,0,0,0,0,0,0,1,0,0
236,140363,1595641,1736004,1016533,876170,0,0,0,0,0
356,319255,637786,957041,794467,475211,0,0,0,0,0
304,295182,0,0,4310836,4606018,1,0,0,0,0
205,16800,0,0,3433113,3449913,1,0,0,0,0
381,385687,0,0,483426,869113,1,0,0,0,0
10,242122,0,0,8371319,8613442,1,0,0,0,0
164,141101,772122,913224,275447,134345,0,0,0,0,0
234,374279,0,0,2158989,2533268,1,0,0,0,0
135,10571,433,0,0,0,0,0,1,0,0
240,2251,1968,0,0,0,0,0,1,0,0
299,181085,27872,0,516652,697737,1,0,0,0,0
38,118279,2673,0,0,118279,1,0,0,0,0
17,212166,25745,237911,4523423,4311258,0,0,0,0,0
520,82529,0,0,1576262,1658791,1,0,0,0,0
307,8940,21274,30214,119800,110860,0,0,0,0,0
154,30842,105,0,0,0,0,0,1,0,0
406,84,15189,15105,0,0,0,0,1,0,0
95,28775,74345,45570,0,0,0,0,1,0,0
202,831115,212323,0,21241,852356,0,0,0,1,0
43,21192,33629,12437,0,0,0,0,1,0,0
348,131171,23871,0,653938,785109,1,0,0,0,0
395,117683,117683,0,0,0,0,0,0,1,1
514,2054,339602,337548,0,0,0,0,1,0,0
308,125915,0,0,6784464,6910380,1,0,0,0,0
211,65311,2458228,2523539,529211,463900,0,0,0,0,0
188,224545,238,224783,1559155,1334610,0,0,0,0,0
163,336365,0,0,544667,881032,1,0,0,0,0
230,48079,48079,0,0,0,0,0,0,1,1
380,103199,10985,0,664557,767756,1,0,0,0,0
35,372710,56370,0,0,372710,1,0,0,0,0
249,16087,0,0,0,0,0,0,1,0,0
201,351830,24227,0,446232,798062,0,0,0,1,0
375,35173,0,0,0,0,0,0,1,0,0
326,59075,11035,70110,0,0,0,0,0,0,0
139,187880,0,0,413521,601402,1,0,0,0,0
478,589,31430,30841,973690,974279,0,1,0,0,0
250,76058,0,0,224036,300093,1,0,0,0,0
139,7899,126802,118903,0,0,0,0,1,0,0
249,2085020,2085020,0,0,0,0,0,0,1,1
404,277310,0,0,758670,1035980,1,0,0,0,0
19,3477438,3477438,0,0,0,0,0,0,1,1
72,730574,730574,0,0,0,0,0,0,1,1
402,823111,0,0,1714643,2537755,0,0,0,1,0
550,197645,20307,0,440404,638049,0,0,0,1,0
379,259914,0,0,422048,681962,1,0,0,0,0
347,993612,83413,0,4051540,5045152,0,0,0,1,0
410,2406333,2406333,0,0,0,0,0,0,1,1
207,20690,0,0,0,0,0,0,1,0,0
381,3871,21231,17360,0,0,0,0,1,0,0
350,118576,0,0,4468732,4587308,1,0,0,0,0
180,1215988,121076,0,443114,1659103,0,0,0,1,0
331,11738,1710531,1722270,13038555,13026817,0,0,0,0,0
42,10124,37484,27360,0,0,0,0,1,0,0
309,10250,238421,228171,0,0,0,0,1,0,0
329,180848,8081683,8262532,5518684,5141456,0,0,0,0,0
156,20774,0,0,0,0,0,0,1,0,0
332,3076,0,0,0,0,0,0,1,0,0
227,210077,949347,1159424,279843,69766,0,0,0,0,0
448,6280,185667,179386,0,0,0,0,1,0,0
307,34414,20872,0,0,0,0,0,1,0,0
43,120369,0,0,1266012,1386381,1,0,0,0,0
394,67742,0,0,130150,197892,0,0,0,1,0
427,426173,426173,0,0,426173,1,0,0,0,1
303,214977,23621912,23836888,1332419,1117442,0,0,0,0,0
311,227624,227624,0,0,227624,1,0,0,0,1
322,41684,0,0,453592,495275,1,0,0,0,0
137,14737,37879,23143,0,0,0,0,1,0,0
347,34869,39923,5054,0,0,0,0,1,0,0
164,131735,0,0,200369,332104,1,0,0,0,0
252,178189,10207130,10385318,222780,44591,0,0,0,0,0
134,83096,162626,245722,897,0,0,0,0,0,0
324,136378,0,0,1814655,1951033,1,0,0,0,0
234,35193,0,0,97032,132226,1,0,0,0,0
405,375627,0,0,3018946,3394573,1,0,0,0,0
306,222210,0,0,2703676,2925886,1,0,0,0,0
42,61095,0,0,189541,250636,1,0,0,0,0
209,60992,5067,66059,0,0,0,0,0,0,0
239,429946,0,0,783201,1213147,0,0,0,1,0
137,9854,0,0,0,0,0,0,1,0,0
13,15563,107828,92265,0,0,0,0,1,0,0
376,1985524,114208,0,544765,2530289,0,0,0,1,0
185,151929,9441725,9593654,241721,89792,0,0,0,0,0
330,127084,5192271,5319355,1024190,897106,0,0,0,0,0
251,19071,30683,11612,1545714,1564786,1,0,0,0,0
135,174662,0,0,19597698,19584888,1,0,0,0,0
235,176695,14920800,15097495,10921172,10744476,0,0,0,0,0
382,1799,61028,59229,0,0,0,0,1,0,0
285,13898,0,0,0,0,0,0,1,0,0
350,382543,0,0,2331100,2713643,1,0,0,0,0
332,127815,660,128475,0,0,0,0,0,0,0
46,14662,0,0,0,0,0,0,1,0,0
119,14347,179,0,0,0,0,0,1,0,0
36,9940,396236,386296,0,0,0,0,1,0,0
132,17776,10605,28381,278267,260492,0,0,0,0,0
283,8823,148,0,0,0,0,0,1,0,0
401,246110,0,0,504986,751096,1,0,0,0,0
186,18195,258028,239833,0,0,0,0,1,0,0
41,142505,0,0,4328549,4471053,1,0,0,0,0
205,94842,717556,812399,1689672,1594830,0,0,0,0,0
137,8027,154328,146301,0,0,0,0,1,0,0
36,5671,0,0,0,0,0,0,1,0,0
494,3642569,3642569,0,1907851,5550420,1,0,0,0,1
226,4178,83800,79622,0,0,0,0,1,0,0
298,1507789,0,0,3740480,5248270,0,0,0,1,0
617,4522,0,0,0,0,0,0,1,0,0
379,76732,10112,86844,0,0,0,0,0,0,0
75,460436,460436,0,0,460436,1,0,0,0,1
370,769922,0,0,19128448,19898370,0,0,0,1,0
234,230668,0,0,491833,722502,1,0,0,0,0
571,36578,0,0,7119761,7156338,1,0,0,0,0
186,97829,114346,16517,2678324,2776153,1,0,0,0,0
154,322761,451003,773764,88371,0,0,0,0,0,0
298,3284,0,0,0,0,0,0,1,0,0
43,2933,137057,134124,734253,737186,0,1,0,0,0
670,14302,11621,0,0,0,0,0,1,0,0
375,5474754,319926,0,5871833,11346587,0,0,0,1,0
42,366494,63444,0,946782,1313276,1,0,0,0,0
596,3222,342976,339754,0,0,0,0,1,0,0
305,118342,0,0,819601,937942,1,0,0,0,0
143,505431,0,0,577518,1082949,0,0,0,1,0
405,106988,135456,28468,917054,1024042,1,0,0,0,0
326,183765,62266,0,0,183765,1,0,0,0,0
204,93270,2632,0,302365,395636,1,0,0,0,0
332,257582,20812,0,0,257582,0,0,0,1,0
355,8358,0,0,715933,724292,1,0,0,0,0
405,220435,2772722,2993157,486713,266279,0,0,0,0,0
144,6000,25604,19604,0,0,0,0,1,0,0
306,4399,252166,247767,0,0,0,0,1,0,0
74,3284198,3284198,0,0,0,0,0,0,1,1
354,1682,0,0,0,0,0,0,1,0,0
356,103887,0,0,308968,412854,1,0,0,0,0
134,6206,106746,100540,0,0,0,0,1,0,0
181,219009,11995,0,75900,294908,1,0,0,0,0
214,101144,21346,0,163442,264586,1,0,0,0,0
202,394587,0,0,4038536,4556974,0,0,0,1,0
403,78009,0,0,607800,685808,1,0,0,0,0
42,117971,1290913,1408884,453070,335100,0,0,0,0,0
211,7095,0,0,0,0,0,0,1,0,0
691,9205,2252232,2261437,6591503,6582298,0,0,0,0,0
306,31701,647642,615941,182730,214431,1,0,0,0,0
358,1222687,0,0,2143308,3365995,0,0,0,1,0
327,172868,0,0,485013,657881,1,0,0,0,0
235,97619,20487,0,0,97619,1,0,0,0,0
395,69957,0,0,4296269,4366227,0,0,0,1,0
659,1321984,1321984,0,0,1321984,1,0,0,0,1
253,23147,104178,81031,0,0,0,0,1,0,0
210,31673,6169896,6201569,608247,576575,0,0,0,0,0
398,108684,0,0,133547,242231,1,0,0,0,0
416,10000000,13019700,3019700,0,0,0,0,0,1,1
134,20509,33025,12516,0,0,0,0,1,0,0
136,15189,305600,290412,0,0,0,0,1,0,0
379,40775,15191,0,0,0,0,0,1,0,0
323,15913,0,0,472081,487994,1,0,0,0,0
235,76139,0,0,951266,1027405,1,0,0,0,0
328,489863,11282,501145,1221133,731269,0,0,0,0,0
384,2374412,2374412,0,0,0,0,0,0,1,1
39,7937954,7937954,0,0,0,0,0,0,1,1
162,2593,0,0,0,0,0,0,1,0,0
259,56702,39164,0,144805,201507,1,0,0,0,0
409,3260216,3260216,0,0,3260216,1,0,0,0,1
38,282131,19886092,20168223,1571524,1289393,0,0,0,0,0
323,82588,2261104,2343691,194109,111521,0,0,0,0,0
332,96068,7220835,7316904,12743519,12647451,0,0,0,0,0
402,2307839,0,0,4036222,6344062,0,0,0,1,0
306,64566,0,0,0,0,0,0,1,0,0
279,7892,0,0,2268385,2276278,1,0,0,0,0
635,580010,580010,0,41888,621898,1,0,0,0,1
162,5567,147,0,0,0,0,0,1,0,0
37,16002,0,0,0,0,0,0,1,0,0
19,96973,0,0,985965,1744222,1,0,0,0,0
250,16748,19784,3036,0,0,0,0,1,0,0
209,943,146,0,0,0,0,0,1,0,0
37,65128,10458,75586,1169654,1104525,0,0,0,0,0
201,360380,3939113,4299493,573319,212939,0,0,0,0,0
126,1244038,1244038,0,0,0,0,0,0,1,1
185,64152,0,0,693799,757951,1,0,0,0,0
399,203791,76974,280765,7695050,7491259,0,0,0,0,0
306,3954,11622431,11626385,916036,912082,0,0,0,0,0
95,62989,3442,0,4675411,4738400,1,0,0,0,0
228,10000000,10497526,497526,0,0,0,0,0,1,1
283,59998,0,0,5340237,5400236,1,0,0,0,0
203,153505,19432,172937,0,0,0,0,0,0,0
163,528,0,0,0,0,0,0,1,0,0
184,224512,0,0,1237133,1461645,1,0,0,0,0
180,42310,100216,57906,0,0,0,0,1,0,0
209,351713,24074,0,0,351713,1,0,0,0,0
375,12402,0,0,0,0,0,0,1,0,0
153,3033,4685848,4688881,3242709,3239676,0,0,0,0,0
135,515645,515645,0,0,0,0,0,0,1,1
253,154193,20603,0,114669,127691,1,0,0,0,0
273,222,291981,291759,0,0,0,0,1,0,0
163,5858,0,0,0,0,0,0,1,0,0
181,185348,10530,0,0,185348,1,0,0,0,0
332,25951,0,0,0,0,0,0,1,0,0
329,84312,84312,0,121546,205858,1,0,0,0,1
370,67094,5526067,5593161,176639,109545,0,0,0,0,0
300,4574,198688,194114,0,0,0,0,1,0,0
167,6687,10175,3488,0,0,0,0,1,0,0
20,16643,5978,0,0,0,0,0,1,0,0
202,698,0,0,0,0,0,0,1,0,0
47,199498,303206,103708,748746,948244,1,0,0,0,0
163,7939,20882,12943,0,0,0,0,1,0,0
13,269962,0,0,1330559,1840728,1,0,0,0,0
16,314664,8251,0,0,314664,1,0,0,0,0
284,10393,0,0,57174,67568,1,0,0,0,0
226,61370,0,61370,1209958,1148588,0,0,0,0,0
309,4447,0,0,0,0,0,0,1,0,0
378,33462,651342,617880,3266200,3299662,1,0,0,0,0
153,463958,10805,0,0,463958,1,0,0,0,0
12,83595,0,0,1119434,1203029,1,0,0,0,0
204,67447,5896446,5963893,245994,178546,0,0,0,0,0
281,42220,8004,50224,2150343,2108123,0,0,0,0,0
17,5611,1328,0,7728533,9038772,1,0,0,0,0
178,306568,0,0,624318,930886,1,0,0,0,0
182,36597,0,0,113336,149933,1,0,0,0,0
135,671658,0,0,2475072,3146730,1,0,0,0,0
153,419332,0,0,6286052,6705384,0,0,0,1,0
166,523,10844,10321,0,0,0,0,1,0,0
225,19373,0,0,0,0,0,0,1,0,0
686,93572,101064,7492,276390,369961,0,0,0,1,0
43,70849,50735,121584,38833,0,0,0,0,0,0
380,21514,7358805,7380319,52183,30669,0,0,0,0,0
402,7947,52425,44478,13128,21075,1,0,0,0,0
563,42540,316,0,0,42540,1,0,0,0,0
331,229812,2806483,3036295,4237047,4007235,0,0,0,0,0
402,74666,299704,374370,202992,128326,0,0,0,0,0
252,14997,0,0,0,0,0,0,1,0,0
541,108755,108755,0,0,0,0,0,0,1,1
15,26737,0,0,367821,1129859,1,0,0,0,0
205,333577,0,0,886052,1219629,0,0,0,1,0
353,5184,0,0,0,0,0,0,1,0,0
619,6822,0,0,0,0,0,0,1,0,0
375,370954,22472,0,105803,476756,1,0,0,0,0
383,29907,3622887,3652795,38477,8570,0,0,0,0,0
190,7389,21091,13702,0,0,0,0,1,0,0
397,222701,0,0,925300,1148001,0,0,0,1,0
305,553,0,0,1853794,1854347,1,0,0,0,0
576,28285,28285,0,477021,505306,1,0,0,0,1
377,210886,0,0,480055,690941,1,0,0,0,0
22,239647,239647,0,0,0,0,0,0,1,1
3,22877,22877,0,0,22877,1,0,0,0,1
36,441237,11046,0,0,457611,0,0,0,1,0
361,1082308,1082308,0,13646873,14729181,1,0,0,0,1
375,39744,54951,94695,0,0,0,0,0,0,0
302,997106,297,0,252745,1249851,0,0,0,1,0
49,1021130,1021130,0,86246,1107376,1,0,0,0,1
306,120907,61492,0,1127829,1248736,1,0,0,0,0
231,5732,0,0,0,0,0,0,1,0,0
403,606875,33222945,33829820,1230810,414714,0,0,0,0,0
276,456973,451636,0,3813131,4270104,0,0,0,1,0
255,1816,88640,86824,0,0,0,0,1,0,0
163,6279,0,0,26508,155015,1,0,0,0,0
183,7050,0,0,0,0,0,0,1,0,0
253,353068,0,353068,771391,418323,0,0,0,0,0
332,102485,100317,0,4440136,4542621,1,0,0,0,0
164,104712,131666,26954,596290,701002,1,0,0,0,0
577,763171,763171,0,0,0,0,0,0,1,1
380,166969,9722466,9889436,1599496,1432527,0,0,0,0,0
304,25905,74313,48408,0,0,0,0,1,0,0
212,10828,0,0,0,0,0,0,1,0,0
155,19421,0,0,0,0,0,0,1,0,0
355,24348,110709,86361,0,0,0,0,1,0,0
274,339727,3810874,4150601,2284628,1944902,0,0,0,0,0
349,5974,0,0,0,0,0,0,1,0,0
378,52047,6104,0,9511119,9563166,1,0,0,0,0
258,7450,27573,20123,0,0,0,0,1,0,0
141,417895,968,0,0,417895,0,0,0,1,0
13,2704214,0,0,12065322,14769536,0,0,0,1,0
157,431357,431357,0,2787800,3219157,1,0,0,0,1
179,62309,980964,1043273,859818,797509,0,0,0,0,0
36,300836,7862597,8163433,332029,31192,0,0,0,0,0
14,1282,87717,86435,125541,208208,1,0,0,0,0
214,393396,0,0,473727,867123,0,0,0,1,0
187,145080,13640,0,679832,824912,1,0,0,0,0
235,224782,17417,0,336370,561152,1,0,0,0,0
234,32054,235380,203326,0,0,0,0,1,0,0
285,8708,0,0,0,0,0,0,1,0,0
379,119624,49610,0,230695,350319,1,0,0,0,0
156,201346,191,201537,0,0,0,0,0,0,0
190,10000000,10185510,185510,0,0,0,0,0,1,1
396,17851,8337,0,0,0,0,0,1,0,0
140,5518,0,0,0,0,0,0,1,0,0
155,347410,24120,0,0,347410,0,0,0,1,0
255,5719,24,0,0,0,0,0,1,0,0
229,3932,9912,5980,0,0,0,0,1,0,0
130,494657,0,0,1238274,1732931,0,0,0,1,0
45,115932,0,0,2421857,2537789,1,0,0,0,0
463,1168274,1168274,0,0,0,0,0,0,1,1
101,253793,253793,0,0,0,0,0,0,1,1
131,29393,1996517,2025910,475719,848921,0,0,0,0,0
327,293462,0,0,709796,1003258,0,0,0,1,0
204,103608,0,0,4312645,4877115,1,0,0,0,0
202,5976,0,0,0,0,0,0,1,0,0
276,2591,0,0,0,0,0,0,1,0,0
135,126690,217386,90696,221728,348418,1,0,0,0,0
370,3416606,92319,0,418961,3835567,0,0,0,1,0
406,1016,8336,7320,0,0,0,0,1,0,0
33,1437370,35018,0,3850464,5287834,0,0,0,1,0
255,4575,0,0,0,0,0,0,1,0,0
683,73930,73930,0,0,0,0,0,0,1,1
355,151184,55007,206191,4344989,4193806,0,0,0,0,0
265,11079,7969,0,0,0,0,0,1,0,0
346,374432,9231,0,21997,396429,1,0,0,0,0
178,117088,2595073,2712162,505458,388370,0,0,0,0,0
132,129944,0,0,206110,336054,0,0,0,1,0
154,373692,6460615,6834307,1564792,1191100,0,0,0,0,0
69,582572,582572,0,0,582572,1,0,0,0,1
279,8089,0,0,0,0,0,0,1,0,0
130,128919,0,0,294427,423346,1,0,0,0,0
213,189826,137492,0,460030,649856,1,0,0,0,0
36,496976,0,0,3456081,3953056,1,0,0,0,0
182,318902,72277,0,958715,1277616,1,0,0,0,0
160,236523,46966,0,0,236523,1,0,0,0,0
43,216849,0,0,424141,640990,0,0,0,1,0
393,184277,0,184277,332263,147986,0,0,0,0,0
544,234016,9965,0,0,234016,0,0,0,1,0
278,10463,249649,239186,0,0,0,0,1,0,0
131,29013,0,0,0,0,0,0,1,0,0
321,29750,59667,89417,24525,0,0,0,0,0,0
495,293327,201897,0,32286,325612,1,0,0,0,0
286,146597,751159,897756,727994,581398,0,0,0,0,0
226,4011,21073,17062,0,0,0,0,1,0,0
355,110,20599,20489,0,0,0,0,1,0,0
329,147268,0,0,388441,535709,1,0,0,0,0
333,286,2012,1726,0,0,0,0,1,0,0
164,194481,0,0,1075236,1269717,1,0,0,0,0
